,text,tags_filter
0,java pas reference pas value always thought java pas reference however read blog post claim java pas value think understand distinction author making explanation,java
1,example liskov substitution principle heard liskov substitution principle lsp fundamental principle object oriented design example use,oop
2,interface base class use interface use base class always interface want actually define base implementation method dog cat class would want implement ipet instead petbase understand interface isheds ibarks imakesnoise placed pet pet basis understand use generic pet,oop
3,add timeout console readline console app want give user second respond prompt input made certain period time program logic continue assume timeout mean empty response straightforward way approaching,c#
4,javascript closure work would explain javascript closure someone knowledge concept consist example function variable like understand closure seen scheme example given wikipedia unfortunately help,javascript
5,return date sql server datetime datatype select getdate return want date part without time part get,sql
6,check column exists sql server table need add specific column exist something like following always return false exists select information schema column table name mytablename column name mycolumnname check column exists table sql server database,sql-server
7,parse command line argument bash say script get called line myscript vfd foo bar somefile fizz someotherfile one myscript fizz someotherfile foo bar somefile accepted way parsing case combination two set true outfile equal fizz someotherfile,bash
8,explained difference interface abstract class one interview asked explain difference interface abstract class response method java interface implicitly abstract implementation java abstract class instance method implement default behaviour variable declared java interface default final abstract class may contain non final variable member java interface public default java abstract class usual flavour class member like private protected etc java interface implemented using keyword implement java abstract class extended using keyword extends interface extend another java interface abstract class extend another java class implement multiple java interface java class implement multiple interface extend one abstract class however interviewer satisfied told description represented bookish knowledge asked practical response explaining would choose abstract class interface using practical example wrong,java
9,invalid postback callback argument event validation enabled using getting following error post back page client side javascript code modifies asp listbox client side fix error detail server error xxx application invalid postback callback argument event validation enabled using page enableeventvalidation true configuration page enableeventvalidation true page security purpose feature verifies argument postback callback event originate server control originally rendered data valid expected use clientscriptmanager registerforeventvalidation method order register postback callback data validation description unhandled exception occurred execution current web request please review stack trace information error originated code exception detail system argumentexception invalid postback callback argument event validation enabled using page enableeventvalidation true configuration page enableeventvalidation true page security purpose feature verifies argument postback callback event originate server control originally rendered data valid expected use clientscriptmanager registerforeventvalidation method order register postback callback data validation source error unhandled exception generated execution current web request information regarding origin location exception identified using exception stack trace stack trace argumentexception invalid postback callback argument event validation enabled using page enableeventvalidation true configuration page enableeventvalidation true page security purpose feature verifies argument postback callback event originate server control originally rendered data valid expected use clientscriptmanager registerforeventvalidation method order register postback callback data validation system web clientscriptmanager validateevent string uniqueid string argument system web control validateevent string uniqueid string eventargument system web webcontrols listbox loadpostdata string postdatakey namevaluecollection postcollection system web webcontrols listbox system web ipostbackdatahandler loadpostdata string postdatakey namevaluecollection postcollection system web page processpostdata namevaluecollection postdata boolean fbeforeload system web page processrequestmain boolean includestagesbeforeasyncpoint boolean includestagesafterasyncpoint version information microsoft net framework version asp net version,.net
10,make element flash jquery brand new jquery experience using prototype prototype method flash element briefly highlight another color fade back normal user eye drawn method jquery see fadein fadeout animate see anything like flash perhaps one three used appropriate input,jquery
11,urlencode data curl command trying write bash script testing take parameter sends curl web site need url encode value make sure special character processed properly best way basic script far bin bash host bad host value shift shift curl param value http host somepath,bash
12,way kill thread possible terminate running thread without setting checking flag semaphore etc,python
13,path combine url path combine handy similar function net framework url looking syntax like url combine http myurl com image image jpg would return http myurl com image image jpg,c#
14,iterate list chunk python script take input list integer need work four integer time unfortunately control input would passed list four element tuples currently iterating way range len ints dummy example code foo ints ints ints ints look lot like think though make suspect pythonic way dealing situation list discarded iterating need preserved perhaps something like would better ints foo ints ints ints ints ints still quite feel right though related question split list evenly sized chunk python,python
15,create generic array java due implementation java generic code like public class genset private public genset new initial array length error generic array creation implement maintaining type safety saw solution java forum like import java lang reflect array class stack public stack class clazz int capacity array array newinstance clazz capacity private final array really get going,java
16,floating point math broken consider following code false inaccuracy happen,math
17,insert result stored procedure temporary table select temp table stored procedure table without defining temp table select data businessline tmpbusline work fine select tmpbusline businessline trying using stored procedure return data quite select tmpbusline exec getbusinesslinehistory mar output message message level state line incorrect syntax near keyword exec read several example creating temporary table structure output stored procedure work fine would nice supply column,sql
18,update gui another thread simplest way update label another thread form running thread starting another thread thread thread processing file would like update label form current status thread work could,c#
19,possible assign base class object derived class reference explicit typecast possible assign base class object derived class reference explicit typecast tried creates run time error,c#
20,hide uinavigationbar bottom line app sometimes need navigation bar blend content anyone know get rid change color annoying little bar image situation talking height line root view controller,ios
21,vertically align text top within uilabel uilabel space two line text sometimes text short text displayed vertical center label vertically align text always top uilabel,ios
22,find documentation formatting date javascript noticed javascript new date function smart accepting date several format xmas new date dec xmas new date xmas new date could find documentation anywhere showing valid string format calling new date function converting string date look opposite side converting date object string impression javascript built api format date object string editor note following approach asker attempt worked particular browser work general see answer page see actual solution today played tostring method date object surprisingly serf purpose formatting date string var new date tostring yyyy return internet explorer firefox chrome tostring dddd mmmm yyyy return monday june internet explorer firefox chrome also could find documentation way format date object string documentation list format specifier supported date object,javascript
23,close hide android soft keyboard programmatically edittext button layout writing edit field clicking button want hide virtual keyboard touching outside keyboard assume simple piece code find example,android
24,calculate relative time given specific datetime value display relative time like hour ago day ago month ago,c#
25,generate list possible permutation string would generating list possible permutation string character length containing variable list character language would work portable,string
26,storing image yea nay using app store image heavily outlook type store location filesystem store directly think pro con,database
27,difference string string difference two one use string hello world string hello world,c#
